Date,Open,High,Low,Close,Adj Close,Volume
2023-06-12,234.1303253173828,235.11822509765625,225.73324584960938,227.215087890625,198.71522521972656,632660
2023-06-13,232.154541015625,246.97291564941406,232.154541015625,241.04556274414062,210.81094360351562,2564046
2023-06-14,241.04556274414062,244.99713134765625,236.10610961914062,236.6000518798828,206.9230194091797,1234953
2023-06-15,239.0697784423828,244.99713134765625,235.61216735839844,237.58795166015625,207.78701782226562,944435
2023-06-16,238.57583618164062,240.05767822265625,227.215087890625,229.684814453125,200.87518310546875,1867613
2023-06-19,229.684814453125,233.14244079589844,228.20297241210938,231.16665649414062,202.17115783691406,301652
2023-06-20,231.6605987548828,232.154541015625,227.215087890625,229.1908721923828,200.4431915283203,484870
2023-06-21,229.1908721923828,236.6000518798828,229.1908721923828,232.154541015625,203.03512573242188,600268
2023-06-26,229.684814453125,230.1787567138672,222.275634765625,226.22718811035156,197.8512420654297,938361
2023-06-27,224.745361328125,224.745361328125,213.3845977783203,219.31195068359375,191.8033905029297,1545716
2023-06-28,221.78167724609375,223.26351928710938,215.85433959960938,216.34828186035156,189.2114715576172,483858
2023-06-29,218.32406616210938,220.79379272460938,216.34828186035156,219.31195068359375,191.8033905029297,513214
2023-06-30,219.80589294433594,229.1908721923828,218.81800842285156,229.1908721923828,200.4431915283203,1088175
2023-07-03,226.5,230.5,222.0,228.5,207.11346435546875,1051000
2023-07-04,230.0,230.0,222.0,224.5,203.4878387451172,927000
2023-07-05,225.5,228.0,222.5,225.5,204.3942413330078,423000
2023-07-06,232.0,246.0,231.5,238.5,216.177490234375,3304000
2023-07-07,241.0,241.5,227.5,230.0,208.4730682373047,1817000
2023-07-10,239.5,252.5,239.0,243.5,220.7095184326172,2549000
2023-07-11,247.5,251.5,241.5,242.0,219.3499298095703,1847000
2023-07-12,246.0,252.5,242.0,243.5,220.7095184326172,1956000
2023-07-13,248.0,248.0,241.5,244.0,221.1627197265625,1010000
2023-07-14,255.0,255.0,235.5,241.0,218.44351196289062,1625000
2023-07-17,243.0,249.0,240.0,247.0,223.88194274902344,1042000
2023-07-18,249.0,251.5,241.0,243.5,220.7095184326172,922000
2023-07-19,244.5,258.0,244.5,251.0,227.507568359375,2265000
2023-07-20,252.0,252.0,241.0,242.0,219.3499298095703,1797000
2023-07-21,238.0,245.0,233.5,243.5,220.7095184326172,760000
2023-07-24,242.0,242.0,234.5,239.0,216.63070678710938,703000
2023-07-25,239.5,246.5,239.5,243.5,220.7095184326172,650000
2023-07-26,244.0,245.5,235.0,235.5,213.45828247070312,840000
2023-07-27,237.0,244.5,237.0,239.5,217.08389282226562,581000
2023-07-28,243.5,263.0,241.0,263.0,238.38441467285156,4750000
2023-07-31,261.0,280.0,252.0,272.0,246.5420684814453,7282000
2023-08-01,287.0,299.0,286.0,299.0,271.0149841308594,3209000
2023-08-02,298.0,298.0,269.5,269.5,244.2760467529297,4134000
2023-08-04,260.0,267.0,251.0,257.0,232.94598388671875,3158000
2023-08-07,263.0,277.5,260.0,271.0,245.63565063476562,3405000
2023-08-08,270.0,284.0,267.0,281.0,254.69970703125,3887000
2023-08-09,281.0,288.0,276.5,282.5,256.0592956542969,2688000
2023-08-10,276.0,279.0,260.5,265.0,240.1972198486328,1957000
2023-08-11,266.0,285.0,266.0,279.5,253.34007263183594,3232000
2023-08-14,276.0,288.5,275.5,285.0,258.3253173828125,3465000
2023-08-15,295.0,303.0,288.0,291.0,263.76373291015625,5177000
2023-08-16,284.5,291.5,280.0,281.5,255.15289306640625,1759000
2023-08-17,282.5,293.5,278.0,291.0,263.76373291015625,2564000
2023-08-18,288.0,290.0,278.5,281.0,254.69970703125,1470000
2023-08-21,285.0,292.0,282.0,286.5,259.6849365234375,1615000
2023-08-22,289.5,293.0,287.0,287.0,260.13812255859375,972000
2023-08-23,289.5,306.5,288.5,302.0,273.73419189453125,3630000
2023-08-24,303.5,320.5,296.0,308.5,279.6258239746094,3714000
2023-08-25,300.5,311.0,300.5,301.0,272.8277893066406,1365000
2023-08-28,306.5,309.5,296.0,304.0,275.5469970703125,1263000
2023-08-29,306.0,316.5,304.5,313.0,283.70465087890625,1906000
2023-08-30,320.5,328.0,309.0,309.0,280.07904052734375,2461000
2023-08-31,310.0,316.5,304.0,304.5,276.0002136230469,1189000
2023-09-01,309.0,309.0,295.0,295.0,267.3893737792969,955000
2023-09-04,298.0,301.0,293.0,300.5,272.3746032714844,783000
2023-09-05,296.0,306.0,296.0,305.0,276.4533996582031,602000
2023-09-06,306.5,314.0,304.0,311.0,281.891845703125,862000
2023-09-07,309.0,318.0,304.5,305.0,276.4533996582031,969000
2023-09-08,308.5,312.0,300.5,300.5,272.3746032714844,1032000
2023-09-11,302.5,303.0,284.0,285.5,258.77850341796875,1837000
2023-09-12,288.0,288.5,278.0,282.0,255.60609436035156,1025000
2023-09-13,286.5,286.5,280.0,282.0,255.60609436035156,493000
2023-09-14,284.5,293.0,283.5,286.5,259.6849365234375,1469000
2023-09-15,288.0,291.0,270.0,271.0,245.63565063476562,3554000
2023-09-18,265.0,271.0,264.0,269.0,243.8228302001953,1245000
2023-09-19,269.0,274.5,267.0,267.0,242.01002502441406,802000
2023-09-20,267.5,269.0,261.0,262.0,237.47801208496094,1048000
2023-09-21,260.0,260.5,253.5,259.0,234.75880432128906,1544000
2023-09-22,258.0,262.5,256.0,262.0,237.47801208496094,800000
2023-09-25,265.0,266.0,260.0,260.0,235.6652069091797,615000
2023-09-26,260.0,264.0,256.5,260.0,235.6652069091797,536000
2023-09-27,260.0,261.0,256.0,257.0,232.94598388671875,422000
2023-09-28,258.5,264.5,258.5,263.5,238.83761596679688,443000
2023-10-02,266.0,273.5,266.0,271.0,245.63565063476562,1062000
2023-10-03,270.0,271.0,263.0,263.5,238.83761596679688,729000
2023-10-04,258.0,260.0,257.0,258.5,234.3055877685547,334000
2023-10-05,260.0,266.5,260.0,266.0,241.10362243652344,404000
2023-10-06,265.0,276.5,263.5,272.0,246.5420684814453,1221000
2023-10-11,273.5,277.0,265.5,265.5,240.65042114257812,936000
